t,x,y,z
0.0,4.338954628600332,16.73968414692532,13.519973299696368
0.01,5.516235661621649,17.17241641976693,14.080835506433552
0.02,6.628759395151175,17.699412480640376,14.851592698920335
0.03,7.689629076257359,18.283312892298206,15.834122957849491
0.04,8.707044477092685,18.88264502555626,17.03051654797803
0.05,9.684365574028998,19.45166725971666,18.44023651159289
0.06,10.620177249040557,19.940717900339678,20.05720462967525
0.07,11.508416443366592,20.29736711379652,21.866902006976936
0.08,12.338643013290563,20.468613260169327,23.843734713304386
0.09,13.096545152270954,20.40423861650227,25.94907996595812
0.1,13.764762840184966,20.06122000878481,28.130551207892065
0.11,14.324081263134449,19.408784044260482,30.32303532399622
0.12,14.754986901277418,18.433359746948113,32.4518951717425
0.13,15.039496474661606,17.14242191383968,34.43836349352657
0.14,15.163079009241647,15.56617284042469,36.206624684752754
0.15,15.116420084699724,13.756282527228954,37.691530497237316
0.16,14.896753796662534,11.781496533574018,38.84553274309836
0.17,14.508531313257032,9.720678193422298,39.643427287411726
0.18,13.963302869413113,7.6545199573977545,40.083947845171174
0.19,13.2788356079372,5.657483176657783,40.18799984398933
0.2,12.477630141805456,3.7913866420535522,39.994118722336886
0.21,11.58509337350548,2.1015370914210845,39.55229664525799
0.22,10.62765187016518,0.6156028596639747,38.91748986213579
0.23,9.631052058741282,-0.6551751647504321,38.14391369936385
0.24,8.619013388036809,-1.713199404827845,37.28080332220413
0.25,7.612308101851881,-2.570999092688948,36.36985215013382
0.26,6.628261079629646,-3.247687189814182,35.44417528156826
0.27,5.680608771031295,-3.765860243585523,34.52844024065541
0.28,4.779629785749372,-4.149169915463486,33.63975027012778
0.29,3.9324559569835924,-4.420606919210546,32.78890874116053
0.3,3.1434835093852933,-4.60142096386785,31.98178446835171
0.31,2.414821584332728,-4.7105462787448324,31.220596835332657
0.32,1.746734127925406,-4.764392744098858,30.505023982636242
0.33,1.1380477073247117,-4.776878342115256,29.833098546028186
0.34,0.5865107821417526,-4.759604767587519,29.201894127754688
0.35000000000000003,0.08909916494177528,-4.722105270645203,28.6080264701311
0.36,-0.3577316396013639,-4.672117391948043,28.04800170420723
0.37,-0.7578430822538209,-4.615851529956833,27.51844487783399
0.38,-1.1152533987816062,-4.558239324088151,27.01623878402237
0.39,-1.4340143046502647,-4.5031545058577125,26.53859825180433
0.4,-1.7181184176879576,-4.453604230609405,26.08309990788125
0.41000000000000003,-1.9714318177931374,-4.411891942974342,25.647682684996703
0.42,-2.1976468541681164,-4.379754344310781,25.230630342717625
0.43,-2.4002510395273347,-4.358475605159294,24.830544041758237
0.44,-2.5825085572836635,-4.348982003031989,24.446310517660656
0.45,-2.747451518985587,-4.351919927093729,24.077069527030073
0.46,-2.8978786347355356,-4.367719836197451,23.72218287188121
0.47000000000000003,-3.0363594008757393,-4.39664837621469,23.381206334724016
0.48,-3.1652422748106246,-4.438850503420698,23.053865184178193
0.49,-3.2866656066398914,-4.494383142910349,22.74003346068774
0.5,-3.402570341617961,-4.563241639652889,22.43971696299132
0.51,-3.514713705802238,-4.645380032107433,22.153039680884557
0.52,-3.624683247628646,-4.740725988491935,21.880233322675334
0.53,-3.7339107373883076,-4.849191087142211,21.621629539541594
0.54,-3.8436855301907684,-4.970676988854079,21.377654433892566
0.55,-3.9551670804334775,-5.1050779357910425,21.14882494054227
0.56,-4.069396360786845,-5.252279914774681,20.935746677546327
0.5700000000000001,-4.18730598927504,-5.4121567402028266,20.73911287068155
0.58,-4.309728906795658,-5.584563242244585,20.55970395668258
0.59,-4.437405476674464,-5.769325689183557,20.398387462079175
0.6,-4.570988899710156,-5.966229529639539,20.256117734658265
