t,x,y,z
0.0,22.48673017358357,24.889135242382107,12.298289308367472
0.01,22.70264673209191,24.43427430751388,17.496242578439805
0.02,22.798905478880943,22.83755699998234,22.36512918453219
0.03,22.683290067415175,20.218681871455182,26.628422953975186
0.04,22.288212622263202,16.788717502203266,30.049889441063552
0.05,21.576387846187526,12.831952958235732,32.4752845033909
0.06,20.543118593699216,8.665938857529913,33.85954106428402
0.07,19.213981375278745,4.592096516480167,34.269156055831786
0.08,17.63822842874886,0.8528923533371274,33.85960854130972
0.09,15.879575117653458,-2.392470137885357,32.83723307719376
0.1,14.006612808600035,-5.07064092101269,31.418940677502864
0.11,12.084763056309024,-7.179877563124531,29.800626539981216
0.12,10.170820749301313,-8.767597698049128,28.13907259287094
0.13,8.310218907094905,-9.907637407621452,26.546532496162058
0.14,6.536523501294305,-10.682032027622308,25.0941251706158
0.15,4.8724159812336,-11.168925743360704,23.819673374069065
0.16,3.3314527292467826,-11.436075935009594,22.736624595551525
0.17,1.9200624417679142,-11.538491546950766,21.842086852767455
0.18,0.6394417541282482,-11.518656916930475,21.123168612611842
0.19,-0.512824184691302,-11.40810244181523,20.56153902390745
0.2,-1.5414746396694394,-11.229485740707332,20.136476295259076
0.21,-2.4526104539385023,-10.99869209980628,19.826778314928173
0.22,-3.2530129423007,-10.726707122656407,19.611887748858376
0.23,-3.94969050155235,-10.421165774099372,19.47251201073563
0.24,-4.549599411909099,-10.087565337253862,19.390939113765178
0.25,-5.059491408192826,-9.73016990495593,19.351182039480936
0.26,-5.485848629461253,-9.35264954703366,19.339032260380048
0.27,-5.83487462277556,-8.95850036127063,19.342066721694426
0.28,-6.112517365673208,-8.55128925697644,19.34962906826778
0.29,-6.324506535832606,-8.134763139029989,19.352792033167564
0.3,-6.476392506221756,-7.71285770266255,19.344300904941925
0.31,-6.573578877344499,-7.289636762045357,19.31849561454892
0.32,-6.621343878781981,-6.869188881664408,19.27120947324478
0.33,-6.6248487623238566,-6.455503897798212,19.19964459667694
0.34,-6.589133429807272,-6.052347608878877,19.102226553877987
0.35000000000000003,-6.519101042248321,-5.66314850631875,18.9784430676463
0.36,-6.419494298660601,-5.2909060587535075,18.82867321995803
0.37,-6.294866521384538,-4.938125970247485,18.654014378232887
0.38,-6.149550723235984,-4.606784233790262,18.4561139487356
0.39,-5.9876295556198516,-4.298318878199327,18.237012220209095
0.4,-5.812908545975881,-4.013646163714375,17.99900120664336
0.41000000000000003,-5.628894423619348,-3.7531966338493556,17.744502783347027
0.42,-5.4387796895287055,-3.5169658123421743,17.47596776737198
0.43,-5.245433974861448,-3.3045743194912394,17.195796105038532
