t,x,y,z,dx,dy,dz
0.0,22.48673017358357,24.889135242382107,12.298289308367472,21.591655850834,-45.486093486822554,519.7953270072333
0.01,22.70264673209191,24.43427430751388,17.496242578439805,15.608765264868651,-102.57891211998835,503.3419938082359
0.02,22.798905478880943,22.83755699998234,22.36512918453219,-0.9678332338367568,-210.77962180293497,456.609018776769
0.03,22.683290067415175,20.218681871455182,26.628422953975186,-25.534642830887044,-302.4419748889537,384.2380128265681
0.04,22.288212622263202,16.788717502203266,30.049889441063552,-55.34511106138247,-369.3364456609725,292.34307747078583
0.05,21.576387846187526,12.831952958235732,32.4752845033909,-87.25470142819933,-406.1389322336677,190.48258116102357
0.06,20.543118593699216,8.665938857529913,33.85954106428402,-118.12032354543902,-411.9928220877782,89.69357762204417
0.07,19.213981375278745,4.592096516480167,34.269156055831786,-145.24450824751779,-390.65232520963923,0.0033738512847492075
0.08,17.63822842874886,0.8528923533371274,33.85960854130972,-166.7203128812644,-349.2283327182762,-71.59614893190138
0.09,15.879575117653458,-2.392470137885357,32.83723307719376,-181.58078100744123,-296.17666371749084,-122.03339319034274
0.1,14.006612808600035,-5.07064092101269,31.418940677502864,-189.74060306722168,-239.37037126195872,-151.83032686062708
0.11,12.084763056309024,-7.179877563124531,29.800626539981216,-191.7896029649361,-184.8478388518219,-163.99340423159626
0.12,10.170820749301313,-8.767597698049128,28.13907259287094,-188.72720746070596,-136.38799222484604,-162.7047021909579
0.13,8.310218907094905,-9.907637407621452,26.546532496162058,-181.71486240035043,-95.72171647865896,-152.2473711127569
0.14,6.536523501294305,-10.682032027622308,25.0941251706158,-171.89014629306521,-63.064416786962596,-136.34295610464963
0.15,4.8724159812336,-11.168925743360704,23.819673374069065,-160.2535386023761,-37.70219536936432,-117.87502875321375
0.16,3.3314527292467826,-11.436075935009594,22.736624595551525,-147.6176769732843,-18.478290179503087,-98.87932606508052
0.17,1.9200624417679142,-11.538491546950766,21.842086852767455,-134.6005487559267,-4.129049096044035,-80.67279914698418
0.18,0.6394417541282482,-11.518656916930475,21.123168612611842,-121.6443313229608,6.5194552567768405,-64.02739144300024
0.19,-0.512824184691302,-11.40810244181523,20.56153902390745,-109.04581968988438,14.458558811157118,-49.3346158676383
0.2,-1.5414746396694394,-11.229485740707332,20.136476295259076,-96.98931346236002,20.470517100447427,-36.738035448963835
0.21,-2.4526104539385023,-10.99869209980628,19.826778314928173,-85.57691513156304,25.138930902546264,-26.229427320035015
0.22,-3.2530129423007,-10.726707122656407,19.611887748858376,-74.85400238069238,28.87631628534546,-17.713315209627112
0.23,-3.94969050155235,-10.421165774099372,19.47251201073563,-64.82932348041992,31.95708927012726,-11.047431754659875
0.24,-4.549599411909099,-10.087565337253862,19.390939113765178,-55.4900453320238,34.549793457172036,-6.066498562734779
0.25,-5.059491408192826,-9.73016990495593,19.351182039480936,-46.812460877607705,36.74578951101006,-2.5953426692565174
0.26,-5.485848629461253,-9.35264954703366,19.339032260380048,-38.76916072913672,38.58347718426502,-0.4557658893254768
0.27,-5.83487462277556,-8.95850036127063,19.342066721694426,-31.333436810597746,40.06801450286099,0.5298403943866603
0.28,-6.112517365673208,-8.55128925697644,19.34962906826778,-24.481595652852306,41.18686111203207,0.5362655736568911
0.29,-6.324506535832606,-8.134763139029989,19.352792033167564,-18.193757027427402,41.92157771569453,-0.2664081662928197
0.3,-6.476392506221756,-7.71285770266255,19.344300904941925,-12.453617075594625,42.256318849231576,-1.7148209309322482
0.31,-6.573578877344499,-7.289636762045357,19.31849561454892,-7.247568628011258,42.183441049907074,-3.6545715848571803
0.32,-6.621343878781981,-6.869188881664408,19.27120947324478,-2.5634942489678902,41.706643212357264,-5.942550893598941
0.33,-6.6248487623238566,-6.455503897798212,19.19964459667694,1.610522448735452,40.84206363927656,-8.4491459683397
0.34,-6.589133429807272,-6.052347608878877,19.102226553877987,5.287386003776762,39.61776957397309,-11.06007645153202
0.35000000000000003,-6.519101042248321,-5.66314850631875,18.9784430676463,8.481956557333525,38.072077506268485,-13.677666695997814
0.36,-6.419494298660601,-5.2909060587535075,18.82867321995803,11.211726043189163,36.25112680356324,-16.221434470670637
0.37,-6.294866521384538,-4.938125970247485,18.654014378232887,13.497178771230889,34.206091248162274,-18.627963561121597
