t,x,y,z,dx,dy,dz
0.0,-1.256901049150596,2.7107172474695895,7.243919975115475,3.9850859320697873,7.3844039264265415,-10.590009569413716
0.01,-1.2170501898298982,2.784561286733855,7.138019879421337,4.000684577612801,7.121936684672625,-10.52502816432015
0.02,-1.17688735759834,2.853155981163042,7.033419411829072,4.02914707007721,6.603455213326792,-10.389484437673557
0.03,-1.136467248428354,2.916630391000391,6.930230190667866,4.052232254359867,6.098048150873359,-10.243269630019602
0.04,-1.0958427125111427,2.975116944180509,6.8285540192286796,4.070125291058746,5.606017582706335,-10.087358975056793
0.05,-1.055064742607179,3.0287507426545175,6.72848301116673,4.083012165576349,5.127598361486707,-9.922712861228788
0.06,-1.0141824691996157,3.0776689114102433,6.630099762004104,4.091079032398981,4.662962425466066,-9.750272487412781
0.07,-0.9732431619591995,3.122009991163839,6.533477561418475,4.094511609275841,4.212223187860431,-9.570956045915713
0.08,-0.9322922370140989,3.161913375167452,6.4386806410857895,4.093494621201183,3.775439948563686,-9.385655410422933
0.09,-0.8913732695351758,3.1975187901351125,6.345764453210016,4.0882112937144,3.3526222869232347,-9.195233305525896
0.1,-0.8505280111398109,3.2289658209059167,6.254775974975272,4.078842894850154,2.9437343978228725,-9.0005209334445
0.11,-0.8097964116381727,3.25639347809157,6.165754034541126,4.06556832424636,2.5486993379807865,-8.802316026995749
0.12,-0.7692166446548837,3.2799398076655324,6.078729654435357,4.048563748059225,2.167403154031211,-8.601381300965594
0.13,-0.7288251366769882,3.299741541172194,5.993726408521814,4.028002277884629,1.799698868458166,-8.398443271470857
0.14,-0.6886565990971911,3.3159337850346957,5.9107607890059395,4.004053691768811,1.4454103041038557,-8.194191413657892
0.15,-0.648744062841612,3.3286497472542713,5.829842580248656,3.9768841951662304,1.1043357305797086,-7.989277627007052
0.16,-0.6091189151938665,3.33802049964629,5.7509752364657984,3.946656219602168,0.7762513202309584,-7.784315978715073
0.17,-0.5698109384495686,3.3441747736588905,5.674156260674355,3.9135282567522354,0.46091440504079095,-7.579882696935725
0.18,-0.5308483500588218,3.3472387877471057,5.599377582527084,3.8776547255620604,0.1580665282637561,-7.376516386140253
0.19,-0.49225784393832744,3.3473361042241656,5.52662593295155,3.8391858700113883,-0.13256371267431621,-7.174718438172345
0.2,-0.45406463265859404,3.3445875134936194,5.455883213763637,3.7982676851380153,-0.4112580330883686,-6.974953614058954
0.21,-0.41629249023556714,3.3391109435623982,5.387126860670371,3.7550418689568987,-0.6783060360694204,-6.777650773513244
0.22,-0.37896379527945606,3.331021392772231,5.320330198293372,3.709645797961583,-0.9340029932827898,-6.583203730004872
0.23,-0.34209957427633547,3.3204308836967424,5.255462786070273,3.662212523942121,-1.1786478269096623,-6.391972211251895
0.24,-0.30571954480061364,3.3074484362340377,5.192490754068334,3.61287078993551,-1.412541286306035,-6.204282906946812
0.25,-0.26984215847762527,3.2921800579706217,5.131377127931337,3.5617450632217356,-1.635984313139316,-6.020430586433578
0.26,-0.23448464353617893,3.2747287499712514,5.072082142339663,3.508955583347953,-1.8492765867230476,-5.840679271246962
0.27,-0.1996630468106662,3.255194526236161,5.014563542506398,3.4546184232869535,-2.052715241157288,-5.665263448678637
0.28,-0.16539227507043985,3.2336744451481056,4.95877687336609,3.398845561934875,-2.246593745354497,-5.494389314006742
0.29,-0.1316861355719687,3.210262651329071,4.904675756226263,3.3417449662556504,-2.4312009364183984,-5.328236030552613
0.3,-0.09855737574532684,3.1850504264197377,4.852212152755038,3.283420681504355,-2.606820196838644,-5.166956997935657
0.31,-0.0660177219418816,3.158126247392298,4.80133661626755,3.223972928062084,-2.773728765777017,-5.010681120162097
0.32,-0.03407791718408516,3.1295758511041973,4.751998530351796,3.163498203532679,-2.932197174668061,-4.859514066378923
0.33,-0.0027477578712280237,3.0994823038989368,4.7041463349399715,3.1020893888596355,-3.082488797673877,-4.713539517996823
0.34,0.027963870593107544,3.06792607515072,4.657727739991859,3.0398358573286965,-3.2248595073950614,-4.572820397091482
0.35000000000000003,0.05804895927534591,3.0349851137510355,4.612689926998142,2.9768235854228298,-3.3595574266296113,-4.437400071702946
0.36,0.08750034230156414,3.0007349266181276,4.5689797385578,2.913135264603568,-3.4868227673346075,-4.30730353441211
0.37,0.11631166456741727,2.9652486584043434,4.5265438563099,2.848850413188093,-3.6068877480384787,-4.182538551486736
0.38,0.144477350565326,2.928597171657358,4.485328967528066,2.7840454875711607,-3.7199765815854047,-4.063096780163411
0.39,0.1719925743188405,2.8908491267726353,4.445281920706631,2.7187939921483064,-3.826305525225848,-3.948954852527864
0.4,0.19885323040829214,2.852071061152841,4.406349870477508,2.653166587371812,-3.9260829855995327,-3.840075424801892
0.41000000000000003,0.22505590606627673,2.8123274670606446,4.368480412210594,2.5872311954340437,-4.0195096715944345,-3.7364081910690405
0.42,0.250597854316973,2.7716808677209523,4.331621706656128,2.5210531031725907,-4.106778788355947,-3.637890861188664
0.43,0.27547696812972855,2.7301918912935257,4.29572259498682,2.454695061845294,-4.188076266253771,-3.544450102717045
0.44,0.2996917555538789,2.687919342395877,4.260732704601787,2.3882173834758573,-4.263581019005591,-3.4560024468059947
0.45,0.3232413157992457,2.644920270913414,4.2266025460507,2.321678033555652,-4.333465225519495,-3.3724551585785356
0.46,0.34612531622499193,2.601250037885487,4.193283601430216,2.2551327199224565,-4.397894630487986,-3.2937070723815687
0.47000000000000003,0.3683439701976948,2.556962378303654,4.160728404603069,2.188634977684678,-4.4570288591242235,-3.2196493924677494
0.48,0.3898980157786855,2.5121094607030026,4.128890613580861,2.1222362501240295,-4.511021741824073,-3.15016645995172
0.49,0.4107886952001754,2.4667419434671727,4.097725075404035,2.0559859655170207,-4.560021644904189,-3.0851364866043784
0.5,0.4310177350890259,2.420909027804919,4.067187883848773,1.989931609891571,-4.604171803926649,-3.0244322565156967
0.51,0.45058732739800683,2.3746585073886397,4.037236430273721,1.924118795758703,-4.6436106565087565,-2.967921796516393
0.52,0.46950011100419997,2.3280368146747437,4.0078294479184455,1.8585913268335834,-4.6784721717076705,-2.9154690158692986
0.53,0.4877591539346785,2.2810890639544863,3.9789270499563347,1.7933912588832257,-4.70888617357943,-2.8669343164949845
0.54,0.5053679361818645,2.233859091203155,3.950490761588546,1.7285589567876791,-4.734978656648847,-2.8221751744286205
0.55,0.5223303330704321,2.1863894908215094,3.9224835464677623,1.6641331479299304,-4.756872091346165,-2.781046693235978
0.56,0.5386505991404631,2.1387216493762318,3.8948698277238263,1.6001509720876772,-4.774685717836946,-2.7434021303656353
0.5700000000000001,0.5543333525121856,2.0908957764647704,3.8676155038604496,1.5366480279541461,-4.78853582670411,-2.7090933970689512
0.58,0.569383559699546,2.0429509328421496,3.8406879597824473,1.4736584164875166,-4.7985360254545695,-2.6779715327242437
0.59,0.583806520841936,1.994925055955679,3.8140560732059647,1.4112147812418818,-4.804797489772272,-2.6498871541826174
0.6,0.5976078553243837,1.9468549830467041,3.787690216698795,1.3493483458787037,-4.8074291988334235,-2.624690880841851
0.61,0.61079348775951,1.8987764719790106,3.7615622555891277,1.2880889490511804,-4.806538154145967,-2.6022337360757986
0.62,0.6233696343054073,1.8507242199637848,3.735645541977279,1.2274650768364204,-4.80222958143286,-2.5823675255834955
0.63,0.6353427892962384,1.8027318803503534,3.709914905077458,1.1675038929335912,-4.794607115486926,-2.5649451932519884
0.64,0.6467197121640791,1.7548320776540463,3.684346638112239,1.1082312667978933,-4.783772967787125,-2.5498211550489147
0.65,0.6575074146321963,1.7070564209946109,3.6589184819764795,1.049671799923374,-4.7698280770993025,-2.53685161145194
0.66,0.6677131481625466,1.6594355161120602,3.6336096058832004,0.9918488504345513,-4.752872243049444,-2.525894838929288
0.67,0.6773443916408873,1.611998976133622,3.6084005851978938,0.9347845561910539,-4.73300424314318,-2.5168114609095404
0.68,0.6864088392863676,1.5647754312491966,3.5832733766650096,0.8784998566042201,-4.710321933761974,-2.509464698706476
0.6900000000000001,0.6949143887729717,1.5177925374583825,3.5582112912237642,0.8230145132792188,-4.684922335255004,-2.5037206028707626
0.7000000000000001,0.702869129551952,1.4710769845440965,3.5331989646075943,0.7683471296830169,-4.656901701967297,-2.499448265387638
0.71,0.7102813313666321,1.4246545034190365,3.5082223259160115,0.7145151700053864,-4.6263555778722205,-2.4965200131650933
0.72,0.7171594329520597,1.378549872986652,3.4832685643442924,0.6615349773554491,-4.593378838483774,-2.4948115832451156
0.73,0.723512030913741,1.332786926649361,3.458326094251109,0.6094217914059008,-4.558065719671111,-2.4942022802048047
0.74,0.7293478687801778,1.2873885585932299,3.4333845187401963,0.5581897656357249,-4.520509834286512,-2.4945751161797203
0.75,0.7346758262264556,1.2423767299636308,3.4084345919275147,0.5078519843109808,-4.480804177489139,-2.495816933964101
0.76,0.7395049084663974,1.197772475043447,3.3834681800609143,0.45842047928842944,-4.439041121495679,-2.497818513662775
0.77,0.7438442358122241,1.1535959075337172,3.3584782216542592,0.4099062467494585,-4.395312400686402,-2.5004746633831454
0.78,0.7477030334013866,1.109866227029719,3.3334586867932514,0.36231926395974834,-4.349709087915521,-2.5036842944521576
0.79,0.7510906210914191,1.0666017257754068,3.308404535765216,0.3156685061453446,-4.302321562948475,-2.5073504816570447
0.8,0.7540164035242934,1.0238197957707496,3.2833116771601105,0.26996196354658886,-4.253239473855158,-2.5113805090441366
0.81,0.7564898603623509,0.9815369362983036,3.2581769255843334,0.22520665871585965,-4.202551692226991,-2.5156859018095945
0.8200000000000001,0.7585205366986106,0.9397687619262097,3.2329979591239186,0.18140866411753276,-4.150346263078747,-2.520182444827568
0.8300000000000001,0.7601180336447015,0.8985300110367287,3.207773276687782,0.13857312007619638,-4.09671035027086,-2.524790188372794
0.84,0.7612919991001346,0.8578345549207925,3.1825021553564627,0.09670425310693842,-4.0417301782328385,-2.529433441623352
0.85,0.7620521187068403,0.8176954074720719,3.157184607855315,0.055805394657493235,-3.985490970771033,-2.5340407545257015
0.86,0.7624081069932844,0.7781247355053719,3.1318213402659487,0.01587900028378053,-3.9280768876946315,-2.53854488862737
0.87,0.7623696987125159,0.7391338697181793,3.1064137100827676,-0.023073330723721863,-3.869570960010754,-2.5428827774533147
0.88,0.76194664037881,0.7007333163051568,3.0809636847168824,-0.061050835261250436,-3.810055024311576,-2.5469954770670267
0.89,0.7611486820072909,0.6629327692319478,3.055473800541427,-0.09805356588138414,-3.7496096569817614,-2.550828107444203
0.9,0.7599855690611823,0.6257411231655216,3.0299471225679984,-0.13408236980995691,-3.688314108877666,-2.5543297852344216
0.91,0.7584670346110918,0.5891664870543944,3.0043872048367386,-0.16913886752908946,-3.6262462409549667,-2.557453548577726
0.92,0.7566027917106005,0.5532161983464222,2.978798051596444,-0.20322543093730383,-3.5634824614274585,-2.560156274558878
0.93,0.7544025259923457,0.5178968378258453,2.953184079345561,-0.23634516111302184,-3.500097664840612,-2.5623985899531743
0.9400000000000001,0.7518758884883401,0.48321424504960997,2.9275500797973804,-0.2685018657048899,-3.4361651735452776,-2.564144775856314
0.9500000000000001,0.7490324886782479,0.44917353435493973,2.9019011838284348,-0.29970003597654116,-3.3717566819182005,-2.5653626667983653
0.96,0.7458818877688093,0.41577911141124596,2.876242826461413,-0.3299448235406677,-3.306942203672053,-2.5660235449545876
0.97,0.7424335922074345,0.38303469028149867,2.850580712929343,-0.3592420168163801,-3.241790022554336,-2.566102030023787
0.98,0.7386970474324817,0.35094331096015924,2.8249207858609373,-0.38759801724979615,-3.17636664665685,-2.56557596536513
0.99,0.7346816318624386,0.31950735734836166,2.7992691936220404,-0.41501981533408894,-3.110736766598901,-2.564426300929812
1.0,0.7303966511257999,0.2887285756281812,2.773632259842341,-0.4415149664722062,-3.0449632177007246,-2.5626369735445964
1.01,0.7258513325329945,0.25860809299434717,2.7480164541511485,-0.46709156672423147,-2.9791069463373954,-2.5601947850668383
1.02,0.7210548197913152,0.2291464367014333,2.7224283641410043,-0.49175822848204764,-2.9132269805205127,-2.5570892789134048
1.03,0.7160161679633535,0.20034355338393692,2.6968746685728804,-0.5155240561160124,-2.847380404822407,-2.5533126154581476
1.04,0.710744338668995,0.17219882860498517,2.6713621118318414,-0.5383986216343395,-2.7816223396443225,-2.548859446745033
1.05,0.7052481955306668,0.14471110659105046,2.6458974796379797,-0.5603919404014668,-2.716005924854694,-2.543726790977363
1.06,0.6995364998609657,0.11787871010789129,2.620487576012294,-0.5815144469561329,-2.6505823077684356,-2.537913907185474
1.07,0.6936179065915441,0.09169946043568175,2.5951392014942702,-0.601776970972534,-2.5854006354122014,-2.5314221704787254
1.08,0.687500960441515,0.06617069739964726,2.5698591326027196,-0.6211907134046957,-2.520508051025885,-2.5242549482487275
1.09,0.6811940923234502,0.04128929941516406,2.5446541025292957,-0.63976722285361,-2.4559496946836386,-2.5164174776679094
1.1,0.6747056159844428,0.017051703505974486,2.5195307830493614,-0.6575183721960864,-2.3917687079423313,-2.50791674480908
1.11,0.6680437248795285,-0.0065460747436825685,2.494495767633114,-0.6744563355102873,-2.3280062423722514,-2.498761365671198
1.12,0.661216489274237,-0.029508421341470546,2.4695555557359374,-0.6905935653409467,-2.2647014718572724,-2.488961469438533
1.1300000000000001,0.6542318535727095,-0.05184010418082802,2.4447165382443434,-0.7059427703223042,-2.201891608465282,-2.4785285841222526
