N,time,rrmse,success-prob
0,0.0,-0.13406256636553227,0.0
1,0.055459834615305494,-0.2204635073159399,0.0
2,0.11091966923061099,-0.2848586083551443,0.0
3,0.1663795038459165,-0.32200544959530236,0.0
4,0.22183933846122197,-0.34524083446397436,0.0
5,0.27729917307652746,-0.35414672254785345,0.0
6,0.332759007691833,-0.36293633311017653,0.001
7,0.3882188423071385,-0.36607896817235375,0.001
8,0.44367867692244395,-0.36775505211631315,0.001
9,0.49913851153774946,-0.36888889285785886,0.001
10,0.5545983461530549,-0.37404382968624805,0.002
11,0.6100581807683605,-0.37496614343800744,0.002
12,0.665518015383666,-0.3763248873277937,0.002
13,0.7209778499989715,-0.3781172667580846,0.002
14,0.776437684614277,-0.3791156178588287,0.002
15,0.8318975192295824,-0.3806419727588179,0.002
16,0.8873573538448879,-0.38654426590525065,0.003
17,0.9428171884601934,-0.391443429656991,0.004
18,0.9982770230754989,-0.3979042205871073,0.005
19,1.0537368576908044,-0.3996383587622832,0.005
20,1.1091966923061098,-0.4007684659808031,0.005
21,1.1646565269214155,-0.40732363407054106,0.006
22,1.220116361536721,-0.40928204167452154,0.006
23,1.2755761961520264,-0.4116361077894445,0.006
24,1.331036030767332,-0.4136263178126989,0.006
25,1.3864958653826374,-0.4158223210130992,0.006
26,1.441955699997943,-0.4190018469897947,0.006
27,1.4974155346132485,-0.42878974440869677,0.008
28,1.552875369228554,-0.43132250497918645,0.008
29,1.6083352038438592,-0.4343577284198624,0.008
30,1.6637950384591649,-0.4361087858596377,0.008
31,1.7192548730744703,-0.43860358420463347,0.008
32,1.7747147076897758,-0.44505668316369285,0.009
33,1.8301745423050813,-0.4511493245056493,0.01
34,1.8856343769203867,-0.45734938963287836,0.011
35,1.9410942115356924,-0.4708713141182334,0.014
36,1.9965540461509979,-0.4770168288397354,0.015
37,2.0520138807663035,-0.48036535982429296,0.015
38,2.1074737153816088,-0.487716603641491,0.016
39,2.1629335499969145,-0.49843098392878976,0.018
40,2.2183933846122197,-0.5012383338299873,0.018
41,2.2738532192275254,-0.5077773836693525,0.019
42,2.329313053842831,-0.5106288264878736,0.019
43,2.3847728884581363,-0.5244476210827586,0.022
44,2.440232723073442,-0.5309185767459123,0.023
45,2.495692557688747,-0.5414928674330768,0.025
46,2.551152392304053,-0.5458312932792418,0.025
47,2.6066122269193586,-0.5680658557167688,0.03
48,2.662072061534664,-0.5701782508364008,0.03
49,2.7175318961499695,-0.5758464135049998,0.031
50,2.7729917307652747,-0.5816617488920546,0.032
51,2.8284515653805804,-0.5955166234504031,0.035
52,2.883911399995886,-0.6092215523243404,0.038
53,2.9393712346111913,-0.6190405557209705,0.04
54,2.994831069226497,-0.6205239379479363,0.04
55,3.0502909038418027,-0.6263805220490212,0.041
56,3.105750738457108,-0.6325249487312314,0.042
57,3.1612105730724136,-0.6380284209584313,0.043
58,3.2166704076877184,-0.6400147034608414,0.043
59,3.272130242303024,-0.6457057831264889,0.044
60,3.3275900769183298,-0.6468926455513804,0.044
61,3.383049911533635,-0.6635695650400509,0.048
62,3.4385097461489407,-0.6651085978812556,0.048
63,3.493969580764246,-0.6743431290019053,0.05
64,3.5494294153795516,-0.6871165543057812,0.053
65,3.6048892499948573,-0.6958956313021837,0.055
66,3.6603490846101625,-0.7122272321474268,0.059
